,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.043474245071411136,0.01568327420963312,0.8785192012786865,0.13705927147855665,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.7782262806457644,0.7763315946410527,0.7847424133592146,0.7671037930940869,0.7831938518544157,0.7779195867189068,0.006228418865524874,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.06995792388916015,0.010696155941962398,1.4418896675109862,0.1197089879573385,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.7343447530287118,0.7490922331763148,0.7302036617285799,0.7246536604202382,0.730830325890382,0.7338249268488453,0.008240803184523235,13,0.8820098280223242,0.8864686259231568,0.8825083113417852,0.8901984710630639,0.8835850699916296,0.8849540612683919,0.0030437502990394425
2,0.05532360076904297,0.015446786379669487,1.2787312030792237,0.28293868501551867,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.7615428571425426,0.7590981201748453,0.7392700502670522,0.7473813006461936,0.757769033238192,0.7530122722937651,0.008402281891289935,12,0.8811357258429937,0.881745561017537,0.883732488847476,0.8842688731071126,0.8792176370679646,0.8820200571766167,0.0018275964451140937
3,0.04967541694641113,0.01751559526971627,1.2070632934570313,0.4419059750993145,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.7234042307501717,0.7320493913129326,0.7012648908072366,0.7423522161775269,0.7194684578190657,0.7237078373733867,0.01370361083566625,14,0.8469620148691841,0.8497977560778877,0.8380535377520747,0.8536239236879108,0.845608999912609,0.8468092464599332,0.005167153576123347
4,0.038880014419555665,0.00938650759768341,0.9517726421356201,0.05038026123272464,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.7173436164663113,0.7291577348956998,0.6814808723488929,0.7403483296451537,0.7271879781553775,0.719103706302287,0.020180924231796137,15,0.8329130527804689,0.8328113207219793,0.8213859419094446,0.8376931763889724,0.8310849794081311,0.8311776942417992,0.005366912000828165
5,0.02882537841796875,0.0052138493989733374,0.9917590141296386,0.03058779132604096,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.707624677791841,0.7339981545054591,0.6791558174980105,0.7259266711304077,0.6959179563194929,0.7085246554490422,0.01986955847155223,16,0.808267543188684,0.8164048810733813,0.7979577120895046,0.8145658583306442,0.8088518385632302,0.8092095666490888,0.006451077721679248
6,0.041910314559936525,0.0032171515314246227,0.9843156337738037,0.07637346424059382,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.7059464405238112,0.7241664446286075,0.6758758696107466,0.7173537529734552,0.7112455239833994,0.7069176063440039,0.01667152681790343,17,0.7971127246182625,0.7960484061322837,0.7906791812515136,0.7982633138624905,0.7925954865116195,0.794939822475234,0.002851141217007179
7,0.039073610305786134,0.013241510355762922,0.9690780162811279,0.30378159779608815,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.6866357210873734,0.6961201260610342,0.6790439469462334,0.7101828978447008,0.6916199059969533,0.692720519587259,0.0104093875021265,19,0.7811099296283673,0.7582621316428056,0.7742922583420833,0.7856827823202872,0.778737971280922,0.775617014642893,0.009425275672495062
8,0.02337493896484375,0.0003944024916059376,0.6645002365112305,0.013875117942409032,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.6704414039503493,0.685306322961302,0.6796735519374161,0.7039358898408911,0.691444625380318,0.6861603588140552,0.011258654974100148,20,0.7696051920485782,0.76255543281978,0.7613110414177932,0.7703371725997474,0.7691230944263175,0.7665863866624433,0.0038391229133246203
9,0.023329973220825195,0.00014261018818336694,0.686578893661499,0.01265615025102118,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.6467426383122452,0.6411011212404713,0.6567501654887131,0.6942094184324886,0.6695544950474076,0.6616715677042652,0.018926640873585487,22,0.7474094340792544,0.7225584695956097,0.7428381181339062,0.749187955537504,0.7518155201328923,0.7427618994958334,0.010517092845540622
10,0.025977945327758788,0.0040806489391109185,0.61911039352417,0.0071097740587067835,cityblock,1,"{'metric': 'cityblock', 'n_neighbors': 1}",0.8779751364150931,0.8637695222167509,0.8689068394240796,0.855319009427936,0.8624408093682026,0.8656822633704124,0.007524297355422966,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.025436830520629884,0.004183226380718276,0.7571478843688965,0.010349491509388934,cityblock,2,"{'metric': 'cityblock', 'n_neighbors': 2}",0.8323644401885105,0.8369345440661847,0.8369070671220281,0.8313497091571295,0.8315276941630958,0.8338166909393898,0.0025575758315170708,4,0.9296111487510986,0.9307061462079833,0.9257728933895554,0.9335395420955144,0.9253266251338906,0.9289912711156084,0.0030919055331933435
12,0.030745983123779297,0.016390500034976403,0.8637064456939697,0.010227917646838731,cityblock,3,"{'metric': 'cityblock', 'n_neighbors': 3}",0.8587103960737826,0.8518552839473172,0.864710378194624,0.8495656414886574,0.846239824181683,0.8542163047772128,0.006650560345497259,2,0.9363432903528852,0.9389259620330591,0.9277718698273665,0.9389548407256106,0.9342439379855706,0.9352479801848984,0.004132030898331026
